Page ID,Title,URL,Provincie,PLACE_ID,NAME_FOUND,FORMATTED_ADDRESS,TYPES,BUSINESS_STATUS,OPEN_NOW,OPENING_HOURS_TEXT,MON,TUE,WED,THU,FRI,SAT,SUN,CAN_VISIT,API_STATUS,ERROR_MESSAGE,QUERY_USED,SOURCE
1351,Kastelen per provincie,https://kastelenbelgie.be/nl/kastelen-per-provincie/,-,,,,,,,,,,,,,,,,SKIPPED_INDEX,,,
1260,Kastelen in luik,https://kastelenbelgie.be/nl/kastelen-luik/,Luik,,,,,,,,,,,,,,,,SKIPPED_INDEX,,,
354,Kasteel engelhof,https://kastelenbelgie.be/nl/kasteel-engelhof-houthalen/,Luik,ChIJ4YgVpIfYwEcROLY6-aVZxVg,Kasteel Engelhof,"Hengelhoefdreef 2, 3530 Houthalen-Helchteren","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel engelhof, Luik, België",GOOGLE_PLACES
353,Kasteel Beauregard,https://kastelenbelgie.be/nl/kasteel-beauregard-froyennes/,Luik,ChIJg32qFBI9wkcRnH8JNQ_K-SU,Château Beauregard,"Beauregard, 6530 Thuin","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel Beauregard, Luik, België",GOOGLE_PLACES
352,Kasteel karreveld,https://kastelenbelgie.be/nl/kasteel-karreveld-te-sint-jans-molenbeek/,Luik,ChIJpxgMN-PDw0cRudiYpvhfQOg,Kasteelhoeve Karreveld,"Jean de la Hoeselaan 32, 1080 Sint-Jans-Molenbeek","establishment,point_of_interest,tourist_attraction",OPERATIONAL,FALSE,maandag: 08:30–17:00 | dinsdag: 08:30–17:00 | woensdag: 08:30–18:00 | donderdag: 08:30–18:00 | vrijdag: 08:30–18:00 | zaterdag: 08:30–18:00 | zondag: 08:30–18:00,08:30–17:00,08:30–17:00,08:30–18:00,08:30–18:00,08:30–18:00,08:30–18:00,08:30–18:00,yes,OK,,"Kasteel karreveld, Luik, België",GOOGLE_PLACES
351,Kasteel van wegimont,https://kastelenbelgie.be/nl/kasteel-van-wegimont-ayeneux-soumagne/,Luik,ChIJV9ZMwIX0wEcRkqSleNQDFfE,Château de Wégimont,4630 Liège,"establishment,point_of_interest",OPERATIONAL,FALSE,maandag: 09:00–17:00 | dinsdag: 09:00–17:00 | woensdag: 09:00–17:00 | donderdag: 09:00–17:00 | vrijdag: 09:00–17:00 | zaterdag: 09:00–17:00 | zondag: 09:00–17:00,09:00–17:00,09:00–17:00,09:00–17:00,09:00–17:00,09:00–17:00,09:00–17:00,09:00–17:00,yes,OK,,"Kasteel van wegimont, Luik, België",GOOGLE_PLACES
350,Kasteel ter lucht,https://kastelenbelgie.be/nl/kasteel-ter-lucht-sint-andries/,Luik,ChIJhze3yX37wEcRVr9xfIQtxNM,Kasteel van Waroux,"Rue de Waroux 301, 4432 Ans","establishment,point_of_interest,tourist_attraction",OPERATIONAL,FALSE,maandag: Gesloten | dinsdag: 14:00–18:00 | woensdag: 14:00–18:00 | donderdag: 14:00–18:00 | vrijdag: 14:00–18:00 | zaterdag: 14:00–18:00 | zondag: 14:00–18:00,Gesloten,14:00–18:00,14:00–18:00,14:00–18:00,14:00–18:00,14:00–18:00,14:00–18:00,yes,OK,,"Kasteel ter lucht, Luik, België",GOOGLE_PLACES
349,Hof ter borght,https://kastelenbelgie.be/nl/hof-ter-borght-westmeerbeek/,Luik,ChIJy0I0e7NawUcRAD6V0hxW4BM,Hof ter Borght,"Heide 41, 2235 Hulshout","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Hof ter borght, Luik, België",GOOGLE_PLACES
348,Kasteel van Durbuy,https://kastelenbelgie.be/nl/kasteel-van-durbuy-durbuy/,Luik,ChIJfzOs_XlPwEcRGUy7_D_kFIM,Kasteel van Durbuy,6940 Durbuy,"establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel van Durbuy, Luik, België",GOOGLE_PLACES
347,Kasteel van fougeraie,https://kastelenbelgie.be/nl/kasteel-van-fougeraie-te-ukkel/,Luik,ChIJi_U_v2AAwUcR2b2LplIljfw,Kasteel van Jehay,"Rue du Parc 1, 4540 Amay","establishment,museum,park,point_of_interest,tourist_attraction",OPERATIONAL,FALSE,maandag: 11:00–18:00 | dinsdag: 11:00–18:00 | woensdag: 11:00–18:00 | donderdag: 11:00–18:00 | vrijdag: 11:00–18:00 | zaterdag: 11:00–18:00 | zondag: 11:00–18:00,11:00–18:00,11:00–18:00,11:00–18:00,11:00–18:00,11:00–18:00,11:00–18:00,11:00–18:00,yes,OK,,"Kasteel van fougeraie, Luik, België",GOOGLE_PLACES
